Momento de abertura da valvula, valvula(s)
2022-12-12 16:27:46,SV_WingValve_2_Position
2022-12-12 16:27:46,SV_CrossoverValve_Position
2022-12-12 16:27:46,SV_PIGCrossoverValve_Position
2022-12-12 16:28:46,SV_AnnulusInterventionValve_12_MasterValve2_Position
2022-12-12 17:40:33,SV_WingValve_1_Position
2022-12-12 18:27:32,SV_WingValve_2_Position
2022-12-12 18:27:32,SV_CrossoverValve_Position
2022-12-12 18:27:32,SV_PIGCrossoverValve_Position
2022-12-12 18:28:41,SV_AnnulusInterventionValve_12_MasterValve2_Position
2022-12-12 18:33:10,SV_WingValve_1_Position
2022-12-16 07:38:21,SV_WingValve_2_Position
2022-12-16 07:38:21,SV_CrossoverValve_Position
2022-12-16 07:38:21,SV_PIGCrossoverValve_Position
2022-12-16 07:38:21,SV_WingValve_1_Position
2022-12-16 07:39:35,SV_AnnulusInterventionValve_12_MasterValve2_Position
2022-12-20 05:57:21,SV_WingValve_1_Position
